puntuación;comentario;sentimiento
20;Pedimos un calamar a la plancha para picar y era UN calamar con poco sabor. Para plato principal pedimos fideuá… tristísima. Realmente prefiero hacer unos fideos con salsa de tomate en casa y…;negativo
30;Buen sitio para comer arroces en primera línea de playa. Hay que reservar ya que  siempre está lleno. La atención fue buena por parte del camarero. La comida está buena pero no me sorprendió especialmente. Esperaba las mejores paellas de…;positivo
10;Nos hemos llevado una gran decepción. Veníamos con la idea de comernos una rica paella al lado de la playa y nos hemos ido comiendonos una paella aceptable sin más en el interior de un local enorme…;negativo
10;Un poco decepción, después de las buenas recomendaciones vistas creo que el único encanto del sitio es que está cerca de la playa. La comida es aceptable, no te vas a quedar con hambre pero la calidad y la ejecución no son buenas. La fideua…;negativo
50;Paellas buenísimas!!! Pedimos la de langosta , y estaba riquísima,muy sabrosa, y con el socarrat🤤 100% recomendable!;positivo
50;De los mejores sitios para comer paella  , y productos del mar , aconsejable reservar siempre completo , personal muy amable y atento sobre todo Amador , numerosos famosos desde hace tiempo hasta actuales pasan x aquí;positivo
50;Restaurante excepcional, el servicio exquisito, la comida deliciosa, hice fotos de los entrantes y estaba todo riquísimo, cuando llegó el arroz caldoso de bogavante y la paella de rochos, estaba disfrutando tanto de la comida y tenía tan bien aspecto que ni me acordé de hacerle fotos a los platos principales;positivo
50;Entrantes cuidados y bien cocinados. Paella Pepica espectacular. Rapidez  y amabilidad en el servicio. Local bien ventilado y cumplimiento la normativa COVID. Altamente recomendable.;positivo
30;En general la paella estaba muy buena pero el resto de los entrantes eran normales, ni una delicia al paladar ni un plato que tuvieras que dejarte. Estaba bien sin alardes. Estuvimos comiendo un domingo y el sitio estaba bastante lleno así…;positivo
20;"Desde luego una decepción. ""Cria fama..."" Mucha propaganda pero nada aconsejable. La paella era insípida, poco gustosa. La amanida pobre y sencilla por el precio q piden. El pan que sirven está bueno. El camarero corriendo arriba y abajo,…";negativo 
35;Ha sido una grata sorpresa venir a comer en este restaurante, íbamos de paso y donde vimos un restaurante paramos El servicio a sido perfecto y una excelente carta, comida muy sabrosa y a un precio muy bueno Es una excelente opción para parar a comer;positivo
40;Desayuno estupendo. Solo he ido a desayunar varios días. El trato es estupendo y los desayunos más que correctos. Buenos bocadillos y variados;positivo
10; Nefasto. No lo recomiendo para nada, un sitio malísimo con comida de muy mala calidad, la atención nefasta, cuando lo tenía el otro dueño era una pasada, ahora da pena, vais a tirar el dinero si paráis allí a comer o dormir;negativo
20; NEFASTO! La atención ha sido nefasta. Llegamos y no había nadie, pedimos unos bocatas y les dijimos de calentarlos y nos pusieron mala cara, llegaron otros clientes y les atendieron antes. Nos llegaron los bocatas y no teníamos aún el café. Muy pocas ganas de vender y de trabajar;negativo
50; Perfecto para comer tras una larga caminata La atención ha sido inmejorable, la comida sabrosa, muy rica, como en casa. Cocina tradicional en un ambiente rural. Acabé aquí tras una larga caminata de 13 km en mi peregrinación a Covadonga y decidí quedarme a pernoctar, volveré seguro; positivo
30;Comida casera. Acudimos a tomar unas hamburguesas y estaban buenísimas. Carne excelente y patatas caseras. El servicio correcto.;positivo
50;Recomendado Todo exquisito, grandes platos y de gran calidad, recomiendo totalmente tanto los menús como los platos sueltos.;positivo
50;BUEN RESTAURANTE Estuve este fin de semana con familia, la mayoría comió el menú excelente entre los platos a destacar el repollo relleno y el rabo de toro, los postres son caseros la tarta de piña y el arroz con leche impresionantes y todo en el menú por 15€, siempre que podemos vamos gran aparcamiento;positivo
10;Desagradable, para no volver. Nefasto, te venden quinta gama a precio de oro, comida congelada, y servicio prepotente y lento. La dueña prepotente y soberbia, no le importa atender bien a los clientes;negativo
10;Desconsiderados Esta noche hemos ido a cenar tres adultos dos niños y un bebé, había q esperar a que finalizaran las reservas, correcto, han dado la mesa desocupada a una pareja sin reserva que había llegado después, comentamos al personal que estábamos esperando y en lugar de dar opciones , nos dicen;negativo
20;Local helado,nada acogedor y precio excesivo. El local es muy bonitoy esta decorado con gusto,pero estábamos todos con el abrigo puesto del frío que hacía.Hemos ido varias veces en invierno y ha sido así siempre.La comida es normalita,y el precio algo excesivo,al menos de los desayunos,cafés pequeños y raciones más escasas que al;negativo
20;Necesita mejorar…. Alérgicos y celíacos CUIDADO! Estuvimos cenando unas amigas ya que decidimos reservar tras ver numerosos platos en carta aparentemente sin gluten (reconfirmado por teléfono al hacer la reserva) porque había dos celíacas en el grupo. Qué decir… pan sin gluten NOT FOUND (que digo yo, en 2024 y con una consumición;negativo
50;Muy buen sitio El restaurante maravilloso,el trato del personal inmejorable, la comida muy buena! Las vistas son impresionantes la decoración!;positivo
20;Comida desastrosa Pésimo. Lo primero para acceder con reserva nos tienen 15 minutos a pleno sol, ya que la Recepcionista chequea reserva y acompaña a la mesa a cada persona. Tanta categoría y cada cubierto de un tipo. La ensaladilla tenía un sabor asqueroso y la fideua no había por donde cogerla;negativo
10;"No vengais; Creo que es el peor restaurante que he estado en mi vida. Mala comida (comida fria, comida pasada, pan duro, etc.), mal servicio (todo tarde y mal), etc. todo ello por 50€/cabeza que no merecía nada";negativo
10;Decepcionante. No suelo poner muchas reseñas pero lo de hoy en un sitio que pretende ser un restaurante puntero en la Marina de Valencia donde hay una gran oferta gastronómica es de traca. Íbamos la familia a celebrar la noche buena pero a la hora de comer en un ambiente estupendo por la situación del;negativo
20;Decepcionante. Un lugar bonito con una cocina mediocre. En primer lugar, la Srta. de recepción es simplemente antipática. El resto del servicio decente. Al no disponer de cerveza de barril, los botellines no están lo suficientemente fríos. Pedimos sepionet y nos traen sepia (te callas y no devuelves el plato por no dar la nota pero es un indicador). Un tomate;negativo
20;Regular Tardan una eternidad entre plato y plato sin haber muchísima gente. Servicio y trato del personal bastante malo. Comida pasable.;negativo
10; Trabajadores burlándose de los clientes Vergonzoso encima que no tienen casi faena por no hay mucha gente se equivocan con los pedidos y cuando vas a quejarte dos señores que trabajan ahí se dedican a burlarse del cliente decepcionado.7 personas en la cocina entre todos no hacen uno bochornoso no vuelvo mas;negativo
95; está muy buena y para el precio que es la comida súper bien y los trabajadores no dejan que se acumulen platos en tu mesa mejorando la comodidad. Un sitio de 10 para ir e;positivo
50;Una experiencia increíble! El parque PortAventura es perfecto tanto para adultos como para niños. Las atracciones están muy bien organizadas y hay opciones para todas las edades — desde montañas rusas impresionantes hasta zonas temáticas para los más pequeños. El parque está muy limpio y bien cuidado, con muchos lugares para descansar y comer. Todo el personal fue amable y servicial. Recomendamos llegar temprano para aprovechar bien el día. ¡Sin duda, vale la pena visitarlo y repetir!;positivo
40;Muy buen parque, ya he ido en dos ocasiones (dos años consecutivos) y me la he pasado bien, el único punto negativo que le daría es al precio de la comida, un poco costoso. Del resto bien! Limpieza del parque, la espera en las colas en estas fechas no es tan larga.;positivo
40;Algo de cola hemos tenido que hacer, pero ha sido soportable. Ir en laborable tiene sus ventajas. El parque en si es una gozada, el espectaculo 30 aniversario en el teatro chino fue genial. Lo de entregar un vaso reutilizable, para luego tener que recuperar un euro debería no debería ser obligatorio, si no optativo.;positivo
50;Un parque chulisimo y enorme, con unas atracciones flipantes. Fuimos dos días para disfrutar tanto de portaventiea como de ferraryland y ambas son experiencias que no te puedes perder. Nos hemos recorrido todos los parques de España y este era el último que nos faltaba por disfrutar. Muy recomendable para todo tipo de familias y personas por la adaptación que tienen sus atracciones;positivo
50;Divino, concretamente he estado en el Hotel El Paso, he estado cenando en el Restaurante El Coyote, y muy bien, bien hecho todo, la fajitas riquísimas, y la hamburguesa vegana también. No había sitio para el postre. Y de beber un acuarios de limón. El camarero que me atendió muy bien y el resto del personal también. Hotel muy bonito, no hace falta ir a México. Saludos.;positivo
10;"Terrible. Colas, colas y mas colas y si quieres menos colas a pagar el ""express"", el express ""unlimited"" es tirar el dinero (124€ dentro del parque), la razon es que en cada atraccion han puesto un expendedor de ""un"" solo express para esa atraccion (express One/ 25 € viaje), lo que hace que cuando la gente ve que hay tres horas de cola decida sacar el ""One"" lo que provoca que el express se sature (olvidate de bajar y subir otra vez), recomiendo sacar el Express 10, por lo menos te garantizas un viaje en cada atraccion de las importantes, si lo sacas en un hotel (hay maquinas expendedoras), aunque no estes alojado, cuesta 10 € menos que en el parque (el hotel ""PortAventura"" esta nada mas acceder al Parque), resumiendo cuantas mas colas haya mas dinero gana el parque, importante es saber que cuando pides una consumicion con vaso te cobran un euro de fianza y te dan un ticket para recuperarlo si lo devuelves, sin ticket NO hay devolucion de fianza. Se supone que como es un lugar con muchos niños NO se puede fumar en el parque, excepto en las zonas habilitadas para ello, pero como no hay nadie que controle eso todo el mundo fuma donde le da la gana, incluidas las terrazas de los restaurantes, en fin esto es España, a disfrutar.";negativo
10;Reservamos una noche de hotel, donde se incluye entradas al parque de dos días y entrada a Ferrari land. Debido a la huelga el parque ha abierto para 5 atracciones y casi todo cerrado, el desayuno ha sido una verguenza aunque los pobres que estaban trabajando daban lo mejor de ellos mismos, desayuno muy escaso, frío, vasos y platos de cartón y la bollería que había congelada, aunque mejor eso que nada la verdad.. pero con el dinero que hemos pagado ha sido una experiencia nefasta. En ningún momento nos avisaron de la huelga ni nos propusieron cambiar la noche de hotel, aunque hemos puesto una reclamación oficial pidiendo una compensación por no dar los servicios publicitados, hubiera sido un detalle de transparencia y buena atención compensar por lo menos de alguna manera la desastrosa experiencia. La huelga es un derecho pero también es un derecho para los consumidores que habíamos reservado para esos días hotel, que se nos hubiera avisado o compensado de alguna manera. Desde luego que el dinero que hemos pagado no vale lo que hemos disfrutado ni habíamos contratado. También nos ha costado trabajo que nos dieran una hoja oficial de reclamación.;negativo
30;Fui en diciembre antes de empezar las vaciones de navidades. El viernes no hubo poca gente y no esperamos casi colas. El fin de semana ya eran más de 3 horas de cola en cada atracción. El domingo pagamos el fast pass y no pudimos usar varias atracciones ya que por el viento estaban cerradas, nos montamos en el furious Baco y nos bajaron porque no funcionaba, nos volvieron a montar y lo mismo…. Fuimos a reclamar y nos dieron entradas para otro día pero no es ninguna solución ya que no vivimos allí. Fue bastante decepcionante por parte del parque.;negativo
10;He visitado el parque como todos los años desde hace por lo menos 25 años, y tengo que decir que el parque va de mal a peor. Colas interminables de más de una hora, los espectáculos anuncian que los hacen, en los carteles y no los hacen (incluyo foto) y además faltan un montón de cosas que antes se hacían ( barcos por el lago, el simulador 3D Odyssey, el templo del fuego, los pajaros, el mago...etc) por lo menos desde el miércoles y ahora ni los fines de semana o días de fiesta. Pagas una entrada para no disfrutar del parque es una estafa. La reputación del parque se va a ver afectada. El día 28 de abril, el espectáculo, Un viaje fascinante no lo realizaron, lo tenían anunciado el miércoles y tampoco lo realizaron. He ido tres días al parque y no lo he podido ver. UN COMPLETO DESASTRE. Y UNA GRAN DECEPCIÓN. Porque precisamente iba al parque para verlo.;negativo
30;Fuimos dos dias entresemana. Si te gusta hacer cola, es tu lugar ideal. El primer día apenas pudimos montarnos en nada por esto mismo (por ejemplo, 3h de cola para una montaña rusa sencillita). El segundo día ya fuimos con el pase rápido y mejor, obviamente pagando más. Recomiendo comprar las entradas con antelación. Con respecto a la comida que ofrece, bastante cara y no es de muy buena calidad.;negativo
